Date,Open,High,Low,Close,Volume,Adj Close
2013-10-03,2505.20,2534.65,2470.79,2489.36,135490000,2489.36
2013-10-02,2515.84,2565.35,2487.62,2505.20,188360000,2505.20
2013-10-01,2452.48,2534.65,2446.53,2515.84,202210000,2515.84
2013-09-28,2427.48,2465.59,2367.82,2452.48,201010000,2452.48
2013-09-27,2459.65,2492.33,2396.29,2427.48,182690000,2427.48
2013-09-26,2485.64,2496.04,2435.40,2459.65,155570000,2459.65
2013-09-25,2452.97,2501.24,2437.38,2485.64,155940000,2485.64
2013-09-24,2498.02,2498.02,2438.12,2452.97,162210000,2452.97
2013-09-21,2518.32,2538.37,2479.95,2512.38,201050000,2512.38
2013-09-20,2549.01,2549.01,2495.54,2518.32,145100000,2518.32
2013-09-19,2571.29,2594.55,2534.41,2557.43,147530000,2557.43
2013-09-18,2567.33,2587.87,2524.26,2571.29,141130000,2571.29
2013-09-17,2564.11,2585.89,2537.13,2567.33,110600000,2567.33
2013-09-14,2582.67,2585.15,2545.54,2564.11,133390000,2564.11
2013-09-13,2625.74,2629.21,2570.54,2582.67,123370000,2582.67
2013-09-12,2612.62,2639.11,2592.33,2625.74,129890000,2625.74
2013-09-11,2615.59,2635.64,2586.88,2612.62,113220000,2612.62
2013-09-10,2619.55,2665.35,2600.99,2615.59,119730000,2615.59
2013-09-07,2596.29,2635.89,2577.72,2619.55,123800000,2619.55
2013-09-06,2628.22,2633.17,2575.99,2596.29,125620000,2596.29
2013-09-05,2613.37,2643.07,2588.61,2628.22,120610000,2628.22
2013-09-04,2614.36,2618.07,2573.02,2613.37,92940000,2613.37
2013-08-31,2593.32,2624.50,2569.31,2614.36,96480000,2614.36
2013-08-30,2632.43,2641.34,2578.47,2593.32,120890000,2593.32
2013-08-29,2614.85,2651.24,2596.53,2632.43,134240000,2632.43
2013-08-28,2611.63,2629.95,2582.92,2614.85,127660000,2614.85
2013-08-27,2590.59,2645.05,2590.59,2611.63,160150000,2611.63
2013-08-24,2483.42,2555.69,2480.45,2532.92,201340000,2532.92
2013-08-23,2539.60,2539.60,2459.41,2483.42,250440000,2483.42
2013-08-22,2603.96,2630.69,2553.22,2560.15,175550000,2560.15
2013-08-21,2645.53,2645.53,2566.09,2603.96,194630000,2603.96
2013-08-20,2644.80,2679.21,2632.43,2656.44,129630000,2656.44
2013-08-17,2679.21,2679.21,2598.02,2644.80,212560000,2644.80
2013-08-16,2746.53,2746.53,2676.24,2681.44,138850000,2681.44
2013-08-15,2747.77,2778.71,2736.38,2748.27,135210000,2748.27
2013-08-14,2746.78,2773.02,2720.54,2747.77,130320000,2747.77
2013-08-13,2716.58,2752.23,2676.73,2746.78,122820000,2746.78
2013-08-10,2758.91,2763.61,2692.82,2716.58,145340000,2716.58
2013-08-09,2734.90,2774.26,2716.58,2758.91,155810000,2758.91
2013-08-08,2710.64,2763.37,2691.34,2734.90,190400000,2734.90
2013-08-07,2716.34,2763.86,2676.24,2710.64,231580000,2710.64
2013-08-06,2758.42,2758.42,2683.17,2716.34,240400000,2716.34
2013-08-03,2863.86,2863.86,2722.03,2809.65,292360000,2809.65
2013-08-02,2899.26,2903.71,2833.17,2864.60,253090000,2864.60
2013-08-01,2905.20,2931.19,2875.00,2899.26,176810000,2899.26
2013-07-31,2917.33,2940.10,2878.47,2905.20,173810000,2905.20
2013-07-30,2898.51,2922.52,2861.14,2917.33,146470000,2917.33
2013-07-27,2920.79,2938.36,2877.72,2898.51,149070000,2898.51
2013-07-26,2930.94,2945.79,2888.12,2920.79,155040000,2920.79
2013-07-25,2922.52,2946.53,2896.78,2930.94,163530000,2930.94
2013-07-24,2904.70,2939.60,2866.83,2922.52,181920000,2922.52
2013-07-23,2961.14,2961.39,2833.17,2904.70,209030000,2904.70
2013-07-20,2993.81,3019.31,2953.71,2961.14,177810000,2961.14
2013-07-19,2981.68,3006.19,2948.27,2993.81,162013000,2993.81
2013-07-18,2999.75,3009.65,2963.61,2981.68,168760000,2981.68
2013-07-17,2999.75,3024.26,2970.05,2999.75,176790000,2999.75
2013-07-16,2980.20,3017.08,2971.78,2999.75,149450000,2999.75
2013-07-13,2969.80,3012.38,2956.68,2980.20,215600000,2980.20
2013-07-12,2932.67,2980.69,2917.82,2969.80,211510000,2969.80
2013-07-11,2890.84,2942.33,2890.10,2932.67,162220000,2932.67
2013-07-10,2914.11,2928.22,2882.18,2890.84,147630000,2890.84
2013-07-09,2904.95,2927.97,2890.84,2914.11,119390000,2914.11
2013-07-06,2879.21,2919.80,2867.57,2904.95,111730000,2904.95
2013-07-05,2906.44,2906.44,2863.61,2879.21,128320000,2879.21
2013-07-03,2899.26,2925.74,2891.09,2911.63,130050000,2911.63
2013-07-02,2880.69,2908.66,2869.80,2899.26,130200000,2899.26
2013-06-29,2878.71,2901.98,2865.84,2880.69,145510000,2880.69
2013-06-28,2862.13,2896.04,2850.50,2878.71,136120000,2878.71
2013-06-27,2842.33,2878.96,2821.53,2862.13,146620000,2862.13
2013-06-26,2845.05,2882.92,2832.67,2842.33,141420000,2842.33
2013-06-25,2857.18,2882.18,2834.90,2845.05,133100000,2845.05
2013-06-22,2901.73,2931.93,2848.02,2857.18,172570000,2857.18
2013-06-21,2895.30,2916.58,2870.05,2901.73,138570000,2901.73
2013-06-20,2893.56,2914.60,2868.81,2895.30,137420000,2895.30
2013-06-19,2882.18,2907.92,2866.58,2893.56,134930000,2893.56
2013-06-18,2930.45,2930.45,2877.48,2882.18,133470000,2882.18
2013-06-15,2928.22,2947.77,2902.72,2935.89,205130000,2935.89
2013-06-14,2929.95,2943.56,2902.97,2928.22,135770000,2928.22
2013-06-13,2933.42,2956.93,2910.15,2929.95,158910000,2929.95
2013-06-12,2892.57,2947.52,2877.97,2933.42,157100000,2933.42
2013-06-11,2862.38,2901.98,2852.97,2892.57,119550000,2892.57
2013-06-08,2897.33,2908.50,2850.73,2862.38,142600000,2862.38
2013-06-07,2911.65,2930.58,2880.34,2897.33,160360000,2897.33
2013-06-06,2925.00,2936.65,2891.99,2911.65,164030000,2911.65
2013-06-05,2935.19,2956.55,2911.89,2925.00,199720000,2925.00
2013-06-04,2900.97,2943.69,2883.98,2935.19,175520000,2935.19
2013-06-01,2876.66,2919.90,2868.69,2900.97,187860000,2900.97
2013-05-31,2878.56,2900.62,2854.64,2876.66,165690000,2876.66
2013-05-30,2870.49,2908.21,2853.89,2878.56,199540000,2878.56
2013-05-29,2820.92,2876.19,2812.62,2870.49,137410000,2870.49
2013-05-25,2855.55,2856.50,2806.69,2820.92,120250000,2820.92
2013-05-24,2856.26,2878.08,2828.04,2855.55,155140000,2855.55
2013-05-23,2852.23,2869.07,2824.95,2856.26,172330000,2856.26
2013-05-22,2844.68,2877.13,2828.51,2852.23,203350000,2852.23
2013-05-21,2819.91,2859.72,2802.08,2844.68,166280000,2844.68
2013-05-18,2831.71,2838.43,2804.63,2819.91,162520000,2819.91
2013-05-17,2819.68,2856.25,2811.57,2831.71,164770000,2831.71
2013-05-16,2822.45,2841.44,2800.23,2819.68,159810000,2819.68
2013-05-15,2821.53,2840.74,2798.15,2822.45,165730000,2822.45
2013-05-14,2801.58,2857.87,2793.75,2821.53,225410000,2821.53
2013-05-11,2743.02,2810.36,2743.02,2801.58,234040000,2801.58
2013-05-10,2732.88,2755.63,2716.44,2738.51,158460000,2738.51
2013-05-09,2733.56,2745.50,2710.14,2732.88,152220000,2732.88
2013-05-08,2721.62,2739.41,2710.36,2733.56,144230000,2733.56
2013-05-07,2710.36,2739.19,2698.87,2721.62,132760000,2721.62
2013-05-04,2696.17,2718.92,2682.43,2710.36,140550000,2710.36
2013-05-03,2689.64,2716.22,2682.88,2696.17,145560000,2696.17
2013-05-02,2668.92,2697.30,2659.01,2689.64,141610000,2689.64
2013-05-01,2656.76,2687.39,2651.35,2668.92,149020000,2668.92
2013-04-30,2645.05,2667.79,2627.70,2656.76,122750000,2656.76
2013-04-27,2676.58,2687.39,2639.19,2645.05,130630000,2645.05
2013-04-26,2666.44,2691.89,2650.22,2676.58,141330000,2676.58
2013-04-25,2654.50,2685.36,2649.32,2666.44,133480000,2666.44
2013-04-24,2666.67,2686.04,2643.69,2654.50,137360000,2654.50
2013-04-23,2690.77,2690.77,2650.90,2666.67,136150000,2666.67
2013-04-20,2711.94,2722.07,2668.47,2695.95,174260000,2695.95
2013-04-19,2732.88,2742.12,2700.00,2711.94,152930000,2711.94
2013-04-18,2765.77,2775.68,2722.75,2732.88,147130000,2732.88
2013-04-17,2763.06,2774.77,2738.29,2765.77,127990000,2765.77
2013-04-16,2751.80,2793.47,2748.87,2763.06,142810000,2763.06
2013-04-12,2729.73,2763.96,2729.50,2751.80,142470000,2751.80
2013-04-11,2731.08,2751.35,2713.29,2729.73,141080000,2729.73
2013-04-10,2722.07,2741.67,2707.88,2731.08,136020000,2731.08
2013-04-09,2717.12,2737.39,2701.35,2722.07,114970000,2722.07
2013-04-06,2721.17,2732.43,2695.50,2717.12,137490000,2717.12
2013-04-05,2719.37,2746.17,2709.01,2721.17,144170000,2721.17
2013-04-04,2736.71,2755.86,2708.56,2719.37,159540000,2719.37
2013-04-03,2700.45,2747.30,2699.55,2736.71,154310000,2736.71
2013-04-02,2707.21,2708.78,2668.69,2700.45,124360000,2700.45
2013-03-30,2727.70,2736.71,2692.34,2707.21,139340000,2707.21
2013-03-29,2743.69,2753.38,2711.49,2727.70,132190000,2727.70
2013-03-28,2736.94,2755.63,2716.21,2743.69,142300000,2743.69
2013-03-27,2707.66,2738.96,2691.89,2736.94,131610000,2736.94
2013-03-26,2704.28,2735.81,2697.97,2707.66,116110000,2707.66
2013-03-23,2695.72,2722.75,2688.06,2704.28,132070000,2704.28
2013-03-22,2727.93,2734.01,2674.32,2695.72,175930000,2695.72
2013-03-21,2738.74,2759.68,2718.24,2727.93,130990000,2727.93
2013-03-20,2755.63,2775.00,2724.10,2738.74,177320000,2738.74
2013-03-19,2741.22,2761.71,2706.53,2755.63,142300000,2755.63
2013-03-16,2699.32,2745.50,2699.32,2741.22,222520000,2741.22
2013-03-15,2687.84,2714.86,2677.93,2695.72,144410000,2695.72
2013-03-14,2674.55,2705.18,2662.39,2687.84,145060000,2687.84
2013-03-13,2686.71,2699.55,2657.88,2674.55,145440000,2674.55
2013-03-12,2683.33,2698.65,2661.94,2686.71,114790000,2686.71
2013-03-09,2696.17,2705.63,2665.54,2683.33,150410000,2683.33
2013-03-08,2669.59,2705.18,2661.26,2696.17,170900000,2696.17
2013-03-07,2676.80,2696.85,2656.08,2669.59,163580000,2669.59
2013-03-06,2649.55,2684.46,2638.06,2676.80,143640000,2676.80
2013-03-05,2660.36,2675.22,2636.71,2649.55,140110000,2649.55
2013-03-02,2635.59,2669.82,2630.18,2660.36,164330000,2660.36
